"Criterion Title","Criterion Description","Level Title","Level Description","Points"
"Funcionament (R1)","El producte fa el que ha de fer amb el maquinari real.","Insuficient","No s'executa o no fa la tasca.","0"
"Funcionament (R1)","El producte fa el que ha de fer amb el maquinari real.","Suficient/Bé","Fa la tasca bàsica amb errors menors.","1"
"Funcionament (R1)","El producte fa el que ha de fer amb el maquinari real.","Notable","Fa la tasca completa de manera fiable.","1.5"
"Funcionament (R1)","El producte fa el que ha de fer amb el maquinari real.","Excel·lent","Funciona i gestiona casos límit o errors.","2"
"Codi escrit per tu (R1)","Estructures i decisions pròpies, no una còpia adaptada de l'exemple. Es comprova amb dues preguntes sobre el codi lliurat (07_Rubriques.md, P3.11).","Insuficient","Còpia gairebé literal del codi de base, sense adaptar.","0"
"Codi escrit per tu (R1)","Estructures i decisions pròpies, no una còpia adaptada de l'exemple. Es comprova amb dues preguntes sobre el codi lliurat (07_Rubriques.md, P3.11).","Suficient/Bé","Adapta la base amb canvis mínims (noms, valors).","1.25"
"Codi escrit per tu (R1)","Estructures i decisions pròpies, no una còpia adaptada de l'exemple. Es comprova amb dues preguntes sobre el codi lliurat (07_Rubriques.md, P3.11).","Notable","Estructures pròpies i adaptacions no trivials.","1.88"
"Codi escrit per tu (R1)","Estructures i decisions pròpies, no una còpia adaptada de l'exemple. Es comprova amb dues preguntes sobre el codi lliurat (07_Rubriques.md, P3.11).","Excel·lent","Disseny propi identificable, amb decisions justificades.","2.5"
"Llegibilitat i depuració (R1)","Comentaris, noms significatius i capacitat d'explicar els errors resolts.","Insuficient","Sense comentaris ni noms clars; no identifica errors.","0"
"Llegibilitat i depuració (R1)","Comentaris, noms significatius i capacitat d'explicar els errors resolts.","Suficient/Bé","Comentaris escassos; corregeix amb ajuda.","0.75"
"Llegibilitat i depuració (R1)","Comentaris, noms significatius i capacitat d'explicar els errors resolts.","Notable","Comentat, noms significatius, depura sol.","1.13"
"Llegibilitat i depuració (R1)","Comentaris, noms significatius i capacitat d'explicar els errors resolts.","Excel·lent","Documentat amb cura i explica la causa de l'error.","1.5"
"Compliment del repte i integració (R3)","Assoliment dels objectius (inclòs el repte ⭐ obligatori) i integració amb el que ja tenies muntat i programat.","Insuficient","No assoleix els objectius; parts inconnexes.","0"
"Compliment del repte i integració (R3)","Assoliment dels objectius (inclòs el repte ⭐ obligatori) i integració amb el que ja tenies muntat i programat.","Suficient/Bé","Assoleix els mínims; integració parcial.","1"
"Compliment del repte i integració (R3)","Assoliment dels objectius (inclòs el repte ⭐ obligatori) i integració amb el que ja tenies muntat i programat.","Notable","Assoleix tots els objectius; sistema coherent.","1.5"
"Compliment del repte i integració (R3)","Assoliment dels objectius (inclòs el repte ⭐ obligatori) i integració amb el que ja tenies muntat i programat.","Excel·lent","Supera els objectius amb millores; integració robusta.","2"
"Quadern i comunicació (R4)","Entrada de la SA: predicció, procés, error documentat amb DEPURA i millora; i la mini-defensa si et toca per mostreig.","Insuficient","Incomplet o confús.","0"
"Quadern i comunicació (R4)","Entrada de la SA: predicció, procés, error documentat amb DEPURA i millora; i la mini-defensa si et toca per mostreig.","Suficient/Bé","Bàsic, comprensible amb llacunes.","1"
"Quadern i comunicació (R4)","Entrada de la SA: predicció, procés, error documentat amb DEPURA i millora; i la mini-defensa si et toca per mostreig.","Notable","Complet, ordenat i clar.","1.5"
"Quadern i comunicació (R4)","Entrada de la SA: predicció, procés, error documentat amb DEPURA i millora; i la mini-defensa si et toca per mostreig.","Excel·lent","Exhaustiu i reflexiu, amb terminologia precisa.","2"
