"Criterion Title","Criterion Description","Level Title","Level Description","Points"
"Completesa i constància (R4)","Una entrada per SA del trimestre, escrita durant el curs i no el darrer dia.","Insuficient","Falten entrades o són de dues ratlles.","0"
"Completesa i constància (R4)","Una entrada per SA del trimestre, escrita durant el curs i no el darrer dia.","Suficient/Bé","Hi són gairebé totes, desiguals.","1.5"
"Completesa i constància (R4)","Una entrada per SA del trimestre, escrita durant el curs i no el darrer dia.","Notable","Totes les entrades, completes i ordenades.","2.25"
"Completesa i constància (R4)","Una entrada per SA del trimestre, escrita durant el curs i no el darrer dia.","Excel·lent","Totes, amb els 6 apartats i evidència d'escriptura continuada.","3"
"Claredat tècnica (R4)","S'entén què has fet i per què, amb esquemes o pseudocodi quan calen.","Insuficient","Confús.","0"
"Claredat tècnica (R4)","S'entén què has fet i per què, amb esquemes o pseudocodi quan calen.","Suficient/Bé","Comprensible amb llacunes.","1.5"
"Claredat tècnica (R4)","S'entén què has fet i per què, amb esquemes o pseudocodi quan calen.","Notable","Clar i rigorós.","2.25"
"Claredat tècnica (R4)","S'entén què has fet i per què, amb esquemes o pseudocodi quan calen.","Excel·lent","Rigorós, precís i ben argumentat.","3"
"Errors documentats amb DEPURA (R4)","Què fallava, com ho vas trobar i com ho vas resoldre. Amagar errors no puja la nota.","Insuficient","Cap error documentat.","0"
"Errors documentats amb DEPURA (R4)","Què fallava, com ho vas trobar i com ho vas resoldre. Amagar errors no puja la nota.","Suficient/Bé","Els menciona sense explicar com els va resoldre.","1"
"Errors documentats amb DEPURA (R4)","Què fallava, com ho vas trobar i com ho vas resoldre. Amagar errors no puja la nota.","Notable","Errors reals amb la rutina DEPURA aplicada.","1.5"
"Errors documentats amb DEPURA (R4)","Què fallava, com ho vas trobar i com ho vas resoldre. Amagar errors no puja la nota.","Excel·lent","Explica la causa i què fa diferent des de llavors.","2"
"Terminologia i ús de la IA (R4)","Vocabulari tècnic correcte i declaració honesta de l'ús d'assistents d'IA.","Insuficient","Terminologia incorrecta; ús d'IA no declarat.","0"
"Terminologia i ús de la IA (R4)","Vocabulari tècnic correcte i declaració honesta de l'ús d'assistents d'IA.","Suficient/Bé","Terminologia bàsica; declaració incompleta.","1"
"Terminologia i ús de la IA (R4)","Vocabulari tècnic correcte i declaració honesta de l'ús d'assistents d'IA.","Notable","Terminologia adequada i ús declarat.","1.5"
"Terminologia i ús de la IA (R4)","Vocabulari tècnic correcte i declaració honesta de l'ús d'assistents d'IA.","Excel·lent","Terminologia precisa i reflexió sobre què li ha aportat la IA.","2"
