"Criterion Title","Criterion Description","Level Title","Level Description","Points"
"Funcionament (R1)","El producte fa el que ha de fer amb el maquinari real.","Insuficient","No s'executa o no fa la tasca.","0"
"Funcionament (R1)","El producte fa el que ha de fer amb el maquinari real.","Suficient/Bé","Fa la tasca bàsica amb errors menors.","1"
"Funcionament (R1)","El producte fa el que ha de fer amb el maquinari real.","Notable","Fa la tasca completa de manera fiable.","1.5"
"Funcionament (R1)","El producte fa el que ha de fer amb el maquinari real.","Excel·lent","Funciona i gestiona casos límit o errors.","2"
"Codi escrit per tu (R1)","Estructures i decisions pròpies, no una còpia adaptada de l'exemple. Es comprova amb dues preguntes sobre el codi lliurat (07_Rubriques.md, P3.11).","Insuficient","Còpia gairebé literal del codi de base, sense adaptar.","0"
"Codi escrit per tu (R1)","Estructures i decisions pròpies, no una còpia adaptada de l'exemple. Es comprova amb dues preguntes sobre el codi lliurat (07_Rubriques.md, P3.11).","Suficient/Bé","Adapta la base amb canvis mínims (noms, valors).","1"
"Codi escrit per tu (R1)","Estructures i decisions pròpies, no una còpia adaptada de l'exemple. Es comprova amb dues preguntes sobre el codi lliurat (07_Rubriques.md, P3.11).","Notable","Estructures pròpies i adaptacions no trivials.","1.5"
"Codi escrit per tu (R1)","Estructures i decisions pròpies, no una còpia adaptada de l'exemple. Es comprova amb dues preguntes sobre el codi lliurat (07_Rubriques.md, P3.11).","Excel·lent","Disseny propi identificable, amb decisions justificades.","2"
"Muntatge i seguretat (R2)","Cablatge correcte segons l'esquema de pins del curs i normes de seguretat.","Insuficient","Connexions incorrectes o insegures.","0"
"Muntatge i seguretat (R2)","Cablatge correcte segons l'esquema de pins del curs i normes de seguretat.","Suficient/Bé","Funciona amb ajuda; aplica les normes amb recordatoris.","0.5"
"Muntatge i seguretat (R2)","Cablatge correcte segons l'esquema de pins del curs i normes de seguretat.","Notable","Muntatge correcte i ordenat; aplica les normes.","0.75"
"Muntatge i seguretat (R2)","Cablatge correcte segons l'esquema de pins del curs i normes de seguretat.","Excel·lent","Muntatge òptim i net; model de bones pràctiques.","1"
"Compliment del repte i integració (R3)","Assoliment dels objectius (inclòs el repte ⭐ obligatori) i integració amb el que ja tenies muntat i programat.","Insuficient","No assoleix els objectius; parts inconnexes.","0"
"Compliment del repte i integració (R3)","Assoliment dels objectius (inclòs el repte ⭐ obligatori) i integració amb el que ja tenies muntat i programat.","Suficient/Bé","Assoleix els mínims; integració parcial.","1"
"Compliment del repte i integració (R3)","Assoliment dels objectius (inclòs el repte ⭐ obligatori) i integració amb el que ja tenies muntat i programat.","Notable","Assoleix tots els objectius; sistema coherent.","1.5"
"Compliment del repte i integració (R3)","Assoliment dels objectius (inclòs el repte ⭐ obligatori) i integració amb el que ja tenies muntat i programat.","Excel·lent","Supera els objectius amb millores; integració robusta.","2"
"Dossier tècnic i defensa oral (R4)","Dossier complet (les 9 seccions) i defensa individual amb demostració: claredat, decisió tècnica justificada i resposta a preguntes.","Insuficient","Dossier incomplet; no defensa la solució.","0"
"Dossier tècnic i defensa oral (R4)","Dossier complet (les 9 seccions) i defensa individual amb demostració: claredat, decisió tècnica justificada i resposta a preguntes.","Suficient/Bé","Dossier bàsic; defensa amb dificultats.","1"
"Dossier tècnic i defensa oral (R4)","Dossier complet (les 9 seccions) i defensa individual amb demostració: claredat, decisió tècnica justificada i resposta a preguntes.","Notable","Dossier complet i ordenat; defensa clara.","1.5"
"Dossier tècnic i defensa oral (R4)","Dossier complet (les 9 seccions) i defensa individual amb demostració: claredat, decisió tècnica justificada i resposta a preguntes.","Excel·lent","Dossier exhaustiu i reflexiu; defensa convincent i respon dubtes.","2"
"Autonomia i procés (R5)","Constància, autoregulació, DEPURA abans de demanar ajuda i ús declarat de la IA.","Insuficient","Depèn contínuament d'ajuda; no documenta el procés.","0"
"Autonomia i procés (R5)","Constància, autoregulació, DEPURA abans de demanar ajuda i ús declarat de la IA.","Suficient/Bé","Avança amb suport; procés registrat de forma irregular.","0.5"
"Autonomia i procés (R5)","Constància, autoregulació, DEPURA abans de demanar ajuda i ús declarat de la IA.","Notable","Treballa amb autonomia i registra el procés.","0.75"
"Autonomia i procés (R5)","Constància, autoregulació, DEPURA abans de demanar ajuda i ús declarat de la IA.","Excel·lent","Autonomia plena, iteració documentada i ús honest i declarat de la IA.","1"
